part_id,has_eye_data,has_eye_data_comment
FP12_P032,FALSE,no eye data! Did preview mode on tobii
FP12_P038,FALSE,"super fussy, tried 3 times"
FP12_P026,FALSE,"tobii crashed repeatedly, stopped trying because mom got impatient. No eye data"
